stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel,gruene,gruene_rel,linke,linke_rel,wfw,wfw_rel,sonstige,sonstige_rel
189,Spitzenstr. 20,Wuppertal,1416,253,3,250,96,38.4,74,29.6,18,7.2,24,9.6,8,3.2,30,12
190,Spitzenstr. 20,Wuppertal,917,188,4,184,67,36.4,63,34.2,20,10.9,16,8.7,6,3.3,12,6.5
191,Heinrich-Böll-Str. 240,Wuppertal,1337,281,3,278,83,29.9,123,44.2,19,6.8,22,7.9,5,1.8,26,9.4
192,Mercklinghausstr. 11,Wuppertal,839,162,1,161,65,40.4,54,33.5,9,5.6,13,8.1,11,6.8,9,5.6
193,Mercklinghausstr. 11,Wuppertal,1512,360,5,355,146,41.1,114,32.1,34,9.6,38,10.7,6,1.7,17,4.8
194,Heinrich-Böll-Str. 240,Wuppertal,1275,251,2,249,81,32.5,109,43.8,14,5.6,21,8.4,10,4,14,5.6
195,Flexstr. 5,Wuppertal,1424,414,6,408,122,29.9,176,43.1,44,10.8,29,7.1,12,2.9,25,6.1
196,Dieckerhoffstr. 20,Wuppertal,1378,434,4,430,149,34.6,167,38.8,61,14.2,15,3.5,10,2.3,28,6.5
197,Hölkesöhde 22a,Wuppertal,715,203,1,202,54,26.7,111,55,13,6.4,6,3,12,5.9,6,3
198,Dieckerhoffstr. 20,Wuppertal,1525,245,1,244,99,40.6,74,30.3,33,13.5,18,7.4,5,2,15,6.2
199,Badische Str. 76,Wuppertal,1215,344,7,337,117,34.7,138,41,39,11.6,16,4.8,7,2.1,20,5.9
200,Zu den Erbhöfen 53,Wuppertal,912,316,5,311,101,32.5,137,44,41,13.2,6,1.9,5,1.6,21,6.7
201,Steinhauser Str. 12,Wuppertal,603,209,2,207,83,40.1,67,32.4,29,14,11,5.3,4,1.9,13,6.3
202,Beyenburger Freiheit 49,Wuppertal,427,183,0,183,53,29,95,51.9,22,12,8,4.4,1,0.6,4,2.2
203,Siegelberg 40,Wuppertal,1037,450,3,447,147,32.9,223,49.9,43,9.6,9,2,9,2,16,3.6
204,Sondern 41,Wuppertal,760,343,2,341,120,35.2,160,46.9,36,10.6,10,2.9,6,1.8,9,2.6
205,Spieckern 39,Wuppertal,652,248,2,246,56,22.8,119,48.4,35,14.2,16,6.5,2,0.8,18,7.3
206,Engelbert-Wüster-Weg 29,Wuppertal,1322,480,5,475,149,31.4,194,40.8,76,16,20,4.2,13,2.7,23,4.8
207,Jägerhaus 112,Wuppertal,765,228,1,227,57,25.1,125,55.1,17,7.5,13,5.7,4,1.8,11,4.8
208,Kratzkopfstr. 23,Wuppertal,1358,485,4,481,184,38.2,171,35.5,72,15,24,5,10,2.1,20,4.2
209,Mohrhennsfeld 19,Wuppertal,575,123,2,121,35,28.9,55,45.5,15,12.4,5,4.1,2,1.6,9,7.4
210,Ferdinand-Lassalle-Str. 28-30,Wuppertal,637,79,5,74,20,27,38,51.4,3,4,7,9.5,0,0,6,8.1
211,Kratzkopfstr. 23,Wuppertal,1358,381,3,378,133,35.2,154,40.7,39,10.3,26,6.9,11,2.9,15,4
212,Marktstr. 21,Wuppertal,1068,330,1,329,114,34.6,141,42.9,40,12.2,12,3.6,6,1.8,16,4.9
213,Scheidtstr. 36,Wuppertal,1159,436,10,426,163,38.3,139,32.6,67,15.7,27,6.3,16,3.8,14,3.3
214,An der Blutfinke 70,Wuppertal,1110,415,2,413,149,36.1,153,37,66,16,26,6.3,9,2.2,10,2.4
